source_module	target_module	edge_kind	weight
JobsByPods/JobsLuckyEnvelopeRain@Pods	JobsByPods/JobsSwiftBaseDefines@Pods	calls	2
JobsByPods/JobsLuckyEnvelopeRain@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	2
JobsByPods/JobsMarqueeView@Pods	JobsByPods/JobsSwiftBaseDefines@Pods	calls	2
JobsByPods/JobsMarqueeView@Pods	JobsByPods/JobsSwiftFoundation@Pods	calls	2
JobsByPods/JobsNavBar@Pods	JobsByPods/JobsSwiftBaseDefines@Pods	calls	2
JobsByPods/JobsProgressBar@Pods	JobsByPods/JobsBy3rdTools@Pods	calls	2
JobsByPods/JobsProgressBar@Pods	JobsByPods/JobsNavBar@Pods	calls	2
JobsByPods/JobsProgressBar@Pods	JobsByPods/JobsSwiftBaseDefines@Pods	calls	2
JobsByPods/JobsProgressBar@Pods	JobsByPods/JobsSwiftStandardLibrary@Pods	calls	2
JobsByPods/JobsRefresher@Pods	JobsByPods/JobsInheritance@Pods	calls	2
JobsByPods/JobsScale@Pods	JobsByPods/JobsGetWindow@Pods	calls	2
JobsByPods/JobsSwiftAppTools@Pods	JobsByPods/JobsNavBar@Pods	calls	2
JobsByPods/JobsSwiftBaseTools@Pods	JobsByPods/JobsSwiftTimer@Pods	calls	2
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/JobsNavBar@Pods	calls	2
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/JobsRefresher@Pods	calls	2
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/JobsSwiftBaseDefines@Pods	calls	2
JobsByPods/JobsSwiftDSL@Pods	JobsByPods/JobsSwiftBaseTools@Pods	calls	2
JobsByPods/JobsSwiftFoundation@Pods	JobsByPods/JobsSwiftTools@Pods	calls	2
JobsByPods/JobsSwiftTimer@Pods	JobsByPods/JobsByUIKit@Pods	calls	2
JobsByPods/JobsSwiftTimerMgr@Pods	JobsByPods/JobsBy3rdTools@Pods	calls	2
JobsByPods/JobsSwiftTimerMgr@Pods	JobsByPods/JobsSwiftWorker@Pods	calls	2
JobsByPods/JobsSwiftTools@Pods	my_flutter	calls	2
JobsByPods/ManualBySwiftPods@Pods	JobsByPods/JobsSwiftTaskCenter@Pods	calls	2
JobsSwiftBaseConfigDemo	JobsByPods/JobsToast@Pods	calls	2
JobsSwiftBaseConfigDemo	my_flutter	calls	2
JobsByPods/BRPickerViewSwift@Pods	JobsByPods/JobsSwiftBaseTools@Pods	calls	1
JobsByPods/JobsBy3rdTools@Pods	JobsByPods/BRPickerViewSwift@Pods	calls	1
JobsByPods/JobsBy3rdTools@Pods	JobsByPods/JobsNavBar@Pods	calls	1
JobsByPods/JobsBy3rdTools@Pods	JobsByPods/JobsRefresher@Pods	calls	1
JobsByPods/JobsBy3rdTools@Pods	JobsByPods/JobsSwiftWorker@Pods	calls	1
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsMarqueeView@Pods	calls	1
JobsByPods/JobsByUIKit@Pods	JobsByPods/JobsSwiftTimer@Pods	calls	1
JobsByPods/JobsCryptoKit@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	1
JobsByPods/JobsGestureUnlock@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	1
JobsByPods/JobsGetWindow@Pods	JobsByPods/JobsNetworking@Pods	calls	1
JobsByPods/JobsInheritance@Pods	JobsByPods/BRPickerViewSwift@Pods	calls	1
JobsByPods/JobsInheritance@Pods	JobsByPods/JobsGetWindow@Pods	calls	1
JobsByPods/JobsMarqueeView@Pods	JobsByPods/JobsImageTools@Pods	calls	1
JobsByPods/JobsNavBar@Pods	JobsByPods/JobsSwiftDSL@Pods	calls	1
JobsByPods/JobsNetworking@Pods	JobsByPods/JobsSwiftBaseTools@Pods	calls	1
JobsByPods/JobsProgressBar@Pods	JobsByPods/JobsSwiftFoundation@Pods	calls	1
JobsByPods/JobsProgressBar@Pods	JobsByPods/ManualBySwiftPods@Pods	calls	1
JobsByPods/JobsRefresher@Pods	JobsByPods/JobsBy3rdTools@Pods	calls	1
JobsByPods/JobsScale@Pods	JobsByPods/JobsByUIKit@Pods	calls	1
JobsByPods/JobsSwiftAppTools@Pods	JobsByPods/JobsGestureUnlock@Pods	calls	1
JobsByPods/JobsSwiftAppTools@Pods	JobsByPods/JobsGetWindow@Pods	calls	1
JobsByPods/JobsSwiftBaseTools@Pods	JobsByPods/BRPickerViewSwift@Pods	calls	1
JobsByPods/JobsSwiftBaseTools@Pods	JobsByPods/JobsByUIKit@Pods	calls	1
